,Name,playerID,Suspension,penalty
0,Alex Sánchez,sanchal03,y,10 days
1,Agustín Montero,monteag01,y,10 days
2,Jamal Strong,stronja01,y,10 days
3,Juan Rincón,rincoju01,y,10 days
4,Rafael Betancourt,betanra01,y,10 days
5,Rafael Palmeiro,palmera01,y,10 days
6,Ryan Franklin,frankry01,y,10 days
7,Mike Morse,morsemi01,y,10 days
8,Carlos Almanzar,almanca01,y,10 days
9,Félix Heredia,heredfe01,y,10 days
10,Matt Lawton,lawtoma02,y,10 days
12,Jason Grimsley,grimsja01,y,50 games
13,Guillermo Mota,motagu01,y,50 games
14,Juan Salas,salasju01,y,50 games
15,Neifi Pérez,perezne01,y,25 games
16,Neifi Pérez,perezne01,y,80 games
17,Mike Cameron,camermi01,y,25 games
18,Dan Serafini,serafda01,y,50 games
19,José Guillén,guilljo01,y,15 games
20,Jay Gibbons,gibboja01,y,15 games
21,Eliézer Alfonzo,alfonel01,y,50 games
22,J. C. Romero,romerjc01,y,50 games
23,Manny Ramirez,ramirma02,y,50 games
24,Edinson Vólquez,volqued01,y,50 games
25,Manny Ramirez,ramirma02,y,100 games
26,Eliézer Alfonzo,alfonel01,y,48 games
27,Guillermo Mota,motagu01,y,100 games
28,Freddy Galvis,galvifr01,y,50 games
29,Marlon Byrd,byrdma01,y,50 games
30,Melky Cabrera,cabreme01,y,50 games
31,Bartolo Colón,colonba01,y,50 games
32,Yasmani Grandal,grandya01,y,50 games
33,Carlos Ruiz,ruizca01,y,25 games
34,Ryan Braun,braunry02,y,Season
35,Nelson Cruz,cruzne02,y,50 games
36,Jhonny Peralta,peraljh01,y,50 games
37,Everth Cabrera,cabreev01,y,50 games
38,Antonio Bastardo,bastaan01,y,50 games
39,Francisco Cervelli,cervefr01,y,50 games
40,Alex Rodriguez,rodrial01,y,2014 season
41,Miguel Tejada,tejadmi01,y,105 games
42,Troy Patton,pattotr01,y,25 games
43,Cameron Maybin,maybica01,y,25 games
44,David Rollins,rollida01,y,80 games
45,Ervin Santana,santaer01,y,80 games
46,Jenrry Mejía,mejiaje01,y,80 games
47,Andrew McKirahan,mckiran01,y,80 games
48,Jenrry Mejía,mejiaje01,y,162 games
49,Cody Stanley,stanlco01,y,80 games
50,Jenrry Mejía,mejiaje01,y,Permanent
51,Abraham Almonte,almonab01,y,80 games
52,Daniel Stumpf,stumpda01,y,80 games
53,Chris Colabello,colabch01,y,80 games
54,Dee Gordon,gordode01,y,80 games
55,Josh Ravin,ravinjo01,y,80 games
56,Raul A. Mondesi,mondera01,y,50 games
57,Marlon Byrd,byrdma01,y,162 games
58,Alec Asher,asheral01,y,80 games
59,Starling Marte,martest01,y,80 games
60,David Paulino,paulida01,y,80 games
61,Jorge Polanco,polanjo01,y,80 games
62,Robinson Cano,canoro01,y,80 games
63,Welington Castillo,castiwe01,y,80 games
64,Steven Wright,wrighst01,y,80 games